Specie,Supply_Type,Total_MORFO_Supply_Kg
Mauratia flexuosa,pilot_top,19093.333
Mauriita flexuosa,pilot_top,94.357
Mauritia flexuosa,pilot_top,617.423
Mauritia flexuosa,supplier_2ry,250.003
Mauritia flexuosa,supplier_top,1173.333
Mauritiella armata,pilot_top,2566.667
Mauritiella armata,supplier_2ry,0.003
Mauritiella armata,supplier_top,143
Maximiliana maripa,pilot_top,147353.333
Mezilaurus crassiramea,pilot_top,0.333
Mezilaurus itauba,pilot_top,3.5
Mezilaurus itauba,supplier_2ry,53.333
Mezilaurus itauba,supplier_top,10
Miconia affinis,pilot_top,0.05
Miconia cinnamomifolia,supplier_top,0.333
Mimosa bimucronata,supplier_2ry,4
Mimosa bimucronata,supplier_top,11.667
Mimosa caesalpiniaefolia,supplier_2ry,1.667
Mimosa claussenii,supplier_top,15.167
Mimosa laticifera,pilot_top,0.333
Mimosa ophthalmocentra,pilot_top,1.205
Moquilea tomentosa,pilot_top,60.605
Moquiniastrum polymorphum,supplier_2ry,0.133
Moquiniastrum polymorphum,supplier_top,2.167
Moringa oleifera,supplier_2ry,3.667
Moringa oleifera,supplier_top,17.5
Mouriri guianensis,pilot_top,100
Mouriri sp.,supplier_2ry,0.003
Mucuna urens,supplier_top,66.667
Murici de lança,pilot_top,0.666
Murici grande peludo,pilot_top,0.333
Murraya paniculata,supplier_2ry,1.667
Myrcia camapuanensis,pilot_top,0.333
Myrcia splendens,pilot_top,1.333
Myrcia tomentosa,pilot_top,0.333
Myroxylon peruiferum,supplier_2ry,10
Myrsine coreacea,supplier_2ry,6.667
Myrsine coriacea,supplier_2ry,0.333
Myrsine coriacea,supplier_top,13.333
NI,pilot_top,3.333
Nectandra megapotamica,supplier_2ry,0
Ochroma pyramidale,pilot_top,3.333
Ocotea odorifera,supplier_2ry,0
Oenocarpus bacaba,pilot_top,16023.95
Oenocarpus bacaba,supplier_2ry,433.333
Oenocarpus bataua,supplier_2ry,133.333
Oenocarpus distichus,supplier_2ry,0.003
Oenocarpus distichus,supplier_top,60
Ormosia arborea,supplier_2ry,9.667
Ormosia arborea,supplier_top,155
Ormosia discolor,supplier_2ry,50
Ormosia excelsa,supplier_2ry,33.336
Ormosia excelsa,supplier_top,56.333
Ormosia flava,pilot_top,6.667
Ormosia flava,supplier_2ry,0.003
Ormosia grossa,supplier_top,98.753
Ormosia paraensis,supplier_2ry,16.67
Ormosia paraensis,supplier_top,100.367
Ormosia sp.,pilot_top,2
Ormosia sp.,supplier_2ry,66.669
Ouratea hexasperma,pilot_top,0.333
Ouratea spectabilis,pilot_top,0.333
PELTOGYNE ANGUSTIFLORA,supplier_2ry,0.667
Pachira aquatica,supplier_2ry,3.333
Pachira nitida,supplier_top,2.667
